casting,director,duration,entries,film_id,genres,img_src,press_ratings,release,societies,synopsis,title,viewers_ratings
Claude Perron|Patrick Ligardes|Vincent Deniard|Théodore Le Blanc|Roby Schinasi|Sarah Fitri|Nicolas Marié|Mathias Minne|Tiphaine Daviot,Pierre-François Martin-Laval,90,175085,294092,Comédie,https://fr.web.img4.acsta.net/c_310_420/pictures/23/09/22/13/11/4039583.jpg,2.4,20 décembre 2023,SND,"Jeff Panacloc et Jean-Marc, le duo qui a conquis des millions de spectateurs, débarque pour la première fois au cinéma ! ",Jeff Panacloc - À la poursuite de Jean-Marc,2.9
James McAvoy|Roy Wilson|Brad William Henke|Rosemary Howard|Haley Lu Richardson|Roy James Wilson|Bruce Willis|Jessica Sula|Christopher Lee Philips|Sebastian Arcelus|Barbara Edwards|Betty Buckley|Santiago Michel|Peter Patrikios|Kate Jacoby|Nakia Dillard|Julie Potter|Kash Goins|Junnie Lopez|Steven Dennis|Andrea Havens|Ameerah Briggs|Anya Taylor-Joy|Jerome Gallman|Robert Michael Kelly|Izzie Coffey|Kim Director|Jon Douglas Rainey|Dann Fink|Neal Huff|Ukee Washington|Kelly Werkheiser,M. Night Shyamalan,117,594427,240516,Epouvante-horreur|Fantastique|Thriller,https://fr.web.img5.acsta.net/c_310_420/pictures/16/12/09/09/51/046535.jpg,3.7,22 février 2017,"Blumhouse Productions,Blinding Edge Pictures,Universal Pictures International France","Kevin a déjà révélé 23 personnalités, avec des attributs physiques différents pour chacune, à sa psychiatre dévouée, la docteure Fletcher, mais l’une d’elles reste enfouie au plus profond de lui. Elle va bientôt se manifester et prendre le pas sur toutes les autres. Poussé à kidnapper trois adolescentes, dont la jeune Casey, aussi déterminée que perspicace, Kevin devient dans son âme et sa chair, le foyer d’une guerre que se livrent ses multiples personnalités, alors que les divisions qui régnaient jusqu’alors dans son subconscient volent en éclats.",Split,4.0
Paolo Sassanelli|Simone Colombari|Marco Cocci|Patrizia La Fonte|Norman Mozzato|Francesca Maturanza,Cristiano Bortone,100,3527,141261,Drame,https://fr.web.img3.acsta.net/c_310_420/pictures/24/03/01/10/31/5302741.jpg,2.7,6 octobre 2010,"Les Films du Préau,Les Films du Préau,Orisa Produzioni","Mirco perd la vue à l'âge de dix ans et doit poursuivre sa scolarité dans un institut spécialisé. Loin de son père, il ne peut plus partager avec lui sa passion du cinéma. Il trouve pourtant le moyen de donner vie aux histoires qu'il s'invente : il enregistre des sons sur un magnétophone puis coupe les bandes, les colle et les réécoute. L'école très stricte n'approuve pas du tout ses expériences et fait tout pour l'en écarter. Mais Mirco, loin de se résigner, poursuit sa passion...",Rouge comme le ciel,3.6
Romain Fleury|Diane Kruger|Mathieu Kassovitz|Grégory Fitoussi|Amira Casar|Elodie Navarre|Marta Nieto|Aleksandra Yermak|Adrien Malvoisin,Yann Gozlan,123,100349,292377,Thriller,https://fr.web.img3.acsta.net/c_310_420/pictures/23/08/01/13/52/4599315.jpg,3.0,6 septembre 2023,"France 2 Cinéma,SND,SND,SND,2425 Production,Orange Studio,Canal +,Anga Productions,Eagles team entertainment","Pilote de ligne confirmée, Estelle mène, entre deux vols long-courriers, une vie parfaite avec Guillaume, son mari aimant et protecteur. Un jour, par hasard, dans un couloir d’aéroport, elle recroise la route d’Ana, photographe avec qui elle a eu une aventure passionnée vingt ans plus tôt. Estelle est alors loin d’imaginer que ces retrouvailles vont l’entraîner dans une spirale cauchemardesque et faire basculer sa vie dans l’irrationnel…",Visions,2.6
Paul Adelstein|Mark St. Cyr|Brandon Herron|Hong Chau|Reed Birney|Janet McTeer|Peter Grosz|Anya Taylor-Joy|Arturo Castro (XII)|Rebecca Koon|Aimee Carrero|Christina Brucato|Judith Light|Adam Aalderks|Nicholas Hoult|Ralph Fiennes|Rob Yang|John Leguizamo,Mark Mylod,108,124279,271676,Thriller,https://fr.web.img6.acsta.net/c_310_420/pictures/22/10/12/12/20/5889028.jpg,2.8,23 novembre 2022,"Gary Sanchez Productions,The Walt Disney Company France,Hyperobject Industries,Searchlight","Un couple se rend sur une île isolée pour dîner dans un des restaurants les plus en vogue du moment, en compagnie d’autres invités triés sur le volet. Le savoureux menu concocté par le chef va leur réserver des surprises aussi étonnantes que radicales...",Le Menu,3.3
Trevor Eve|Julie Christie|Desislava Stefanova|Frankie Fitzgerald|Brad Pitt|Julian Glover|Brendan Gleeson|Eric Bana|Mark Lewis Jones|Sean Bean|Tyler Mane|Owain Yeoman|Rose Byrne|John Shrapnel|Alex King|Brian Cox|Nigel Terry|Peter O'Toole|James Cosmo|Joshua Richards|Garrett Hedlund|Tim Chipping|Matthew Tal|Jacob Smith|Luke Tal|Saffron Burrows|Nathan Jones|Louis Dempsey|Siri Svegler|Lucie Barat|Tanja Tzarovska|Manuel Cauchi|Diane Kruger|Vincent Regan|Ken Bones|Orlando Bloom|Adoni Maropis,Wolfgang Petersen,155,813201,47357,Action|Péplum|Aventure,https://fr.web.img3.acsta.net/c_310_420/medias/nmedia/18/35/23/55/18379045.jpg,2.9,13 mai 2004,"Warner Bros.,Village Roadshow Pictures,Warner Bros. France,Radiant Productions,Film Music Services,Plan B Entertainment","Dans la Grèce antique, l'enlèvement d'Hélène, reine de Sparte, par Paris, prince de Troie, est une insulte que le roi Ménélas ne peut supporter. L'honneur familial étant en jeu, Agamemnon, frère de Ménélas et puissant roi de Mycènes, réunit toutes les armées grecques afin de faire sortir Hélène de Troie.",Troie,3.6
Tilda Swinton|Alyla Browne|Quaden Bayles|Ana Adams|Idris Elba|Ece Yüksel|Lachy Hulme|Megan Gale|Zerrin Tekindor|Oğulcan Arman Uslu|Burcu Gölgedar|David Collins (III)|Jack Braddy,George Miller,109,95617,268966,Fantastique|Drame|Romance,https://fr.web.img2.acsta.net/c_310_420/pictures/22/07/26/14/18/2447514.jpg,3.7,24 août 2022,"Metropolitan FilmExport,Metropolitan FilmExport,Golden Scene,Nordisk Film,Kennedy Miller Productions,Eagle,Nordisk Film Production AS,FilmNation Entertainment,FilmNation Entertainment,Kennedy Miller Mitchell,Nordisk Film Shortcut A/S,Monolith Films","Alithea Binnie, bien que satisfaite par sa vie, porte un regard sceptique sur le monde. Un jour, elle rencontre un génie qui lui propose d’exaucer trois vœux en échange de sa liberté. Mais Alithea est bien trop érudite pour ignorer que, dans les contes, les histoires de vœux se terminent mal. Il plaide alors sa cause en lui racontant son passé extraordinaire. Séduite par ses récits, elle finit par formuler un vœu des plus surprenants.",Trois Mille ans à t’attendre,3.5
Katie Barberi|Shawnee Smith|Steven Brand|Renata Vaca|Michael Beach|Paulette Hernandez|Tobin Bell|Donagh Gordon|Synnøve Macody Lund|Costas Mandylor|Isan Beomhyun Lee|Jorge Briseño|Octavio Hinojosa|Lucía Gómez-Robledo,Kevin Greutert,118,315046,291879,Epouvante-horreur,https://fr.web.img6.acsta.net/c_310_420/pictures/23/07/27/18/03/4072864.jpg,2.7,25 octobre 2023,"Metropolitan FilmExport,Twisted Pictures,Lionsgate,Atomic Monster","John Kramer, le tueur au puzzle, est de retour dans le volet le plus perturbant de la franchise SAW. Les événements se situent entre SAW I et II, on y retrouve un John, malade et désespéré, qui se rend au Mexique afin de subir une opération expérimentale capable de guérir son cancer, mais il découvre que tout ceci n’est qu’une escroquerie visant des malades vulnérables et affligés. Animé d'un nouveau but, le célèbre tueur en série retourne à son œuvre, et va prendre sa revanche sur ces escrocs dans un terrible « jeu » dont il a le secret, à travers des pièges toujours plus machiavéliques et ingénieux les uns que les autres.",Saw X,3.2
Jamie Waylett|Julie Walters|John Hurt|John Cleese|Zoë Wanamaker|Terence Bayler|Richard Bremmer|Simon Fisher-Becker|Katharine Nicholson|Elizabeth Spriggs|Richard Harris|Harry Melling|Alfred Enoch|Luke Youngblood|Alan Rickman|Matthew Lewis|Maggie Smith|Rupert Grint|David Bradley (IV)|Robbie Coltrane|Devon Murray|James Phelps|Warwick Davis|Will Theakston|Fiona Shaw|Oliver Phelps|Chris Rankin|Emma Watson|Sean Biggerstaff|Daniel Radcliffe|Ian Hart|Derek Deadman|Ray Fearon|Tom Felton|Verne Troyer|Bonnie Wright|Josh Herdman|Richard Griffiths|Geraldine Somerville|Nina Young,Chris Columbus,152,2316734,29276,Famille|Aventure|Fantastique,https://fr.web.img6.acsta.net/c_310_420/pictures/18/07/02/17/25/3643090.jpg,3.7,5 décembre 2001,"Warner Bros.,Warner Bros. France,Warner Bros. France,Heyday Films","Orphelin, Harry Potter a été recueilli à contrecœur par son oncle Vernon et sa tante Pétunia, aussi cruels que mesquins, qui n'hésitent pas à le faire dormir dans le placard sous l'escalier. Constamment maltraité, il doit en outre supporter les jérémiades de son cousin Dudley, garçon cupide et archi-gâté par ses parents. De leur côté, Vernon et Pétunia détestent leur neveu dont la présence leur rappelle sans cesse le tempérament ""imprévisible"" des parents du garçon et leur mort mystérieuse.",Harry Potter à l'école des sorciers,4.1
Macyn Van Borssum|Gareth Hamilton-Foster|Melissa Jaffer|Toby Ayers|Jeremy Costello|Riley Keough|Gillian Jones|Zoë Kravitz|Angus Sampson|Debra Ades|Nicholas Hoult|Hugh Keays-Byrne|Courtney Eaton|Joy Smithers|Charlize Theron|Abbey Lee|Megan Gale|Nathan Jones|Greg Van Borssum|Coco Jack Gillies|Jennifer Hagan|Josh Helman|Tom Hardy|John Howard|Richard Carter|Iota|Melita Jurisic|Vanessa Summerfield|Richard Norton,George Miller,120,905012,125054,Action|Science Fiction,https://fr.web.img6.acsta.net/c_310_420/pictures/15/04/14/18/30/215297.jpg,4.4,14 mai 2015,"Warner Bros.,Village Roadshow Pictures,Warner Bros. France,Kennedy Miller Productions,Village Roadshow Studios","Hanté par un lourd passé, Mad Max estime que le meilleur moyen de survivre est de rester seul. Cependant, il se retrouve embarqué par une bande qui parcourt la Désolation à bord d'un véhicule militaire piloté par l'Imperator Furiosa. Ils fuient la Citadelle où sévit le terrible Immortan Joe qui s'est fait voler un objet irremplaçable. Enragé, ce Seigneur de guerre envoie ses hommes pour traquer les rebelles impitoyablement…",Mad Max: Fury Road,4.2
Andranic Manet|Martine Chevallier|Adam Pouilhe|Laurent Poitrenaux|Alexandre Marchesseau|Lucie Vadot|Catherine Lefroid|Louise Bourgoin,Thomas Salvador,112,39384,283583,Fantastique|Drame,https://fr.web.img5.acsta.net/c_310_420/pictures/23/02/01/16/28/5510102.jpg,3.9,1 février 2023,"Le Pacte,Le Pacte,Christmas In July,Indie Sales,Auvergne-Rhône-Alpes Cinéma","Pierre, ingénieur parisien, se rend dans les Alpes pour son travail. Irrésistiblement attiré par les montagnes, il s’installe un bivouac en altitude et décide de ne plus redescendre. Là-haut, il fait la rencontre de Léa et découvre de mystérieuses lueurs.",La Montagne,2.8
