year,weekend,movie_titles,movie_urls,movie_grosses,movie_distributors
2021,https://www.boxofficemojo.com/weekend/2021W33/?area=FR&ref_=bo_wey_table_20,"The Boss Baby 2: Family Business,Attention au départ !,Fantasies,Drive My Car,Louloute","https://www.boxofficemojo.com/release/rl3574170369/?ref_=bo_we_table_1,https://www.boxofficemojo.com/release/rl3171779329/?ref_=bo_we_table_6,https://www.boxofficemojo.com/release/rl3188556545/?ref_=bo_we_table_11,https://www.boxofficemojo.com/release/rl3205333761/?ref_=bo_we_table_14,https://www.boxofficemojo.com/release/rl2953675521/?ref_=bo_we_table_23","$2,244,816,$3,728,$2,244,816,$644,570,$1,583,$644,570,$430,418,$1,215,$430,418,$295,061,$2,235,$295,061,$68,174,$668,$68,174","Universal Pictures International (UPI),SND Films,Gaumont,Diaphana Films"
2022,https://www.boxofficemojo.com/weekend/2022W16/?area=FR&ref_=bo_wey_table_37,"The Lost City,Les Segpa,The Unbearable Weight of Massive Talent,Murina,Ogre,The World After Us","https://www.boxofficemojo.com/release/rl1748992769/?ref_=bo_we_table_3,https://www.boxofficemojo.com/release/rl1765769985/?ref_=bo_we_table_4,https://www.boxofficemojo.com/release/rl1799324417/?ref_=bo_we_table_9,https://www.boxofficemojo.com/release/rl1849656065/?ref_=bo_we_table_13,https://www.boxofficemojo.com/release/rl1614775041/?ref_=bo_we_table_20,https://www.boxofficemojo.com/release/rl1665106689/?ref_=bo_we_table_26","$2,512,964,-,$2,512,964,$1,591,234,$6,264,$1,591,234,$342,760,$902,$342,760,$137,769,$1,680,$137,769,$96,448,$759,$96,448,$70,590,$1,038,$70,590","Paramount Pictures International,Apollo Films,Miramax,KMBO,The Jokers"
2022,https://www.boxofficemojo.com/weekend/2022W09/?area=FR&ref_=bo_wey_table_44,"The Batman,Belfast,Zero Fucks Given,Nobody's Hero,Robust,Ali & Ava","https://www.boxofficemojo.com/release/rl2922545921/?ref_=bo_we_table_1,https://www.boxofficemojo.com/release/rl1932886785/?ref_=bo_we_table_8,https://www.boxofficemojo.com/release/rl1949664001/?ref_=bo_we_table_12,https://www.boxofficemojo.com/release/rl1966441217/?ref_=bo_we_table_19,https://www.boxofficemojo.com/release/rl1983218433/?ref_=bo_we_table_24,https://www.boxofficemojo.com/release/rl1999995649/?ref_=bo_we_table_29","$7,910,398,$7,982,$7,910,398,$489,663,$2,342,$489,663,$329,712,$2,100,$329,712,$159,981,$1,052,$159,981,$103,144,$781,$103,144,$64,788,$863,$64,788","Warner Bros.,Universal Pictures International (UPI),Condor,Diaphana Films,Rézo Films"
2023,https://www.boxofficemojo.com/weekend/2023W10/?area=FR&ref_=bo_wey_table_43,"Scream VI,The Crime Is Mine,The Whale,What's Love Got to Do with It?,En plein feu,Women Talking","https://www.boxofficemojo.com/release/rl948404993/?ref_=bo_we_table_1,https://www.boxofficemojo.com/release/rl965182209/?ref_=bo_we_table_3,https://www.boxofficemojo.com/release/rl981959425/?ref_=bo_we_table_14,https://www.boxofficemojo.com/release/rl998736641/?ref_=bo_we_table_18,https://www.boxofficemojo.com/release/rl1015513857/?ref_=bo_we_table_19,https://www.boxofficemojo.com/release/rl1032291073/?ref_=bo_we_table_22","$4,004,543,-,$4,004,543,$2,687,474,$4,479,$2,687,474,$354,427,$1,540,$356,828,$182,008,$973,$182,008,$124,584,$626,$124,584,$102,359,$867,$102,359","Paramount Pictures International,Gaumont,StudioCanal,Apollo Films,Universal Pictures International (UPI)"
2022,https://www.boxofficemojo.com/weekend/2022W13/?area=FR&ref_=bo_wey_table_40,"Sonic the Hedgehog 2,Morbius,Rise,The World of Yesterday,Aristocrats,Freaks Out,Icarus,Azuro,Returning to Reims (Fragments),Cyrano","https://www.boxofficemojo.com/release/rl1530430209/?ref_=bo_we_table_1,https://www.boxofficemojo.com/release/rl1849197313/?ref_=bo_we_table_2,https://www.boxofficemojo.com/release/rl3845686017/?ref_=bo_we_table_3,https://www.boxofficemojo.com/release/rl3862463233/?ref_=bo_we_table_13,https://www.boxofficemojo.com/release/rl3879240449/?ref_=bo_we_table_16,https://www.boxofficemojo.com/release/rl3627582209/?ref_=bo_we_table_17,https://www.boxofficemojo.com/release/rl3644359425/?ref_=bo_we_table_20,https://www.boxofficemojo.com/release/rl3661136641/?ref_=bo_we_table_25,https://www.boxofficemojo.com/release/rl3677913857/?ref_=bo_we_table_27,https://www.boxofficemojo.com/release/rl2050720513/?ref_=bo_we_table_33","$6,026,584,-,$6,026,584,$2,795,499,$4,166,$2,795,499,$2,072,111,$5,017,$2,072,111,$271,864,$1,627,$271,864,$170,642,$2,031,$170,642,$145,228,$859,$145,228,$136,017,$747,$136,017,$67,773,$797,$67,773,$51,191,$1,163,$51,191,$13,693,$526,$16,005","Paramount Pictures International,Sony Pictures Releasing,StudioCanal UK,Pyramide Distribution,Miramax,Bac Films,Paname Distribution,Jour2Fête,Universal Pictures International (UPI)"
2024,https://www.boxofficemojo.com/weekend/2024W06/?area=FR&ref_=bo_wey_table_7,"Cocorico,Autumn and the Black Jaguar,Daaaaaali!,Operation Portugal 2 - La vie de chateau,Dune,Kensuke's Kingdom,La Bête,Race for Glory: Audi vs. Lancia,Asterix: The Secret of the Magic Potion","https://www.boxofficemojo.com/release/rl1297317889/?ref_=bo_we_table_1,https://www.boxofficemojo.com/release/rl1314095105/?ref_=bo_we_table_2,https://www.boxofficemojo.com/release/rl1330872321/?ref_=bo_we_table_3,https://www.boxofficemojo.com/release/rl1079214081/?ref_=bo_we_table_6,https://www.boxofficemojo.com/release/rl1095991297/?ref_=bo_we_table_9,https://www.boxofficemojo.com/release/rl1112768513/?ref_=bo_we_table_10,https://www.boxofficemojo.com/release/rl1129545729/?ref_=bo_we_table_17,https://www.boxofficemojo.com/release/rl1146322945/?ref_=bo_we_table_23,https://www.boxofficemojo.com/release/rl1163100161/?ref_=bo_we_table_26","$3,749,392,$6,166,$3,749,392,$1,395,671,$2,262,$1,395,671,$1,333,162,$3,979,$1,333,162,$816,145,$2,480,$816,145,$464,453,$1,919,$464,453,$453,871,$1,367,$453,871,$248,107,$1,772,$248,107,$205,625,$1,033,$205,625,$127,689,$428,-","SND Films,StudioCanal,Diaphana Films,Sony Pictures Releasing,Warner Bros.,Le Pacte,Ad Vitam Distribution,Metropolitan Filmexport,SND Films"
2023,https://www.boxofficemojo.com/weekend/2023W48/?area=FR&ref_=bo_wey_table_5,"Wish,The Braid,Along Came Love,Perfect Days,Thanksgiving,Dumb Money,Cesária Évora","https://www.boxofficemojo.com/release/rl1480818689/?ref_=bo_we_table_1,https://www.boxofficemojo.com/release/rl2403696641/?ref_=bo_we_table_3,https://www.boxofficemojo.com/release/rl2152038401/?ref_=bo_we_table_5,https://www.boxofficemojo.com/release/rl2168815617/?ref_=bo_we_table_6,https://www.boxofficemojo.com/release/rl4292609/?ref_=bo_we_table_8,https://www.boxofficemojo.com/release/rl2185592833/?ref_=bo_we_table_18,https://www.boxofficemojo.com/release/rl2202370049/?ref_=bo_we_table_29","$4,311,967,$6,921,$4,311,967,$1,912,583,$3,439,$1,912,583,$741,794,$2,101,$741,794,$639,795,$3,496,$639,795,$496,363,$2,481,$496,363,$149,065,$1,028,$149,065,$57,783,$1,256,$57,783","Walt Disney Pictures,SND Films,Gaumont,Haut et Court,Sony Pictures Releasing,Miramax"
2023,https://www.boxofficemojo.com/weekend/2023W06/?area=FR&ref_=bo_wey_table_47,"Alibi.com 2,Titanic,Mummies,Princes of the Desert,Les têtes givrées,The Great Magic,For My Country,Till","https://www.boxofficemojo.com/release/rl3019801345/?ref_=bo_we_table_1,https://www.boxofficemojo.com/release/rl402555649/?ref_=bo_we_table_4,https://www.boxofficemojo.com/release/rl3036578561/?ref_=bo_we_table_6,https://www.boxofficemojo.com/release/rl3053355777/?ref_=bo_we_table_8,https://www.boxofficemojo.com/release/rl3070132993/?ref_=bo_we_table_11,https://www.boxofficemojo.com/release/rl3086910209/?ref_=bo_we_table_12,https://www.boxofficemojo.com/release/rl2835251969/?ref_=bo_we_table_20,https://www.boxofficemojo.com/release/rl880902913/?ref_=bo_we_table_24","$6,144,807,$9,036,$6,144,807,$1,940,380,$7,699,$1,940,380,$914,591,$1,607,$914,591,$452,585,$1,095,$452,585,$350,168,$1,070,$350,168,$297,108,$1,614,$297,108,$185,933,$1,787,$185,933,$154,616,$1,380,$230,445","StudioCanal,Walt Disney Studios Motion Pictures,Warner Bros.,SND Films,UGC Distribution,Ad Vitam Distribution,Memento Films,Universal Pictures International (UPI)"
2023,https://www.boxofficemojo.com/weekend/2023W03/?area=FR&ref_=bo_wey_table_50,"Babylon,The Lulus,Le clan,The (In)Famous Youssef Salem,Alcarràs,Perlimps,Bright Women","https://www.boxofficemojo.com/release/rl939164417/?ref_=bo_we_table_2,https://www.boxofficemojo.com/release/rl1341817601/?ref_=bo_we_table_3,https://www.boxofficemojo.com/release/rl1090159361/?ref_=bo_we_table_6,https://www.boxofficemojo.com/release/rl1106936577/?ref_=bo_we_table_8,https://www.boxofficemojo.com/release/rl1123713793/?ref_=bo_we_table_17,https://www.boxofficemojo.com/release/rl1140491009/?ref_=bo_we_table_18,https://www.boxofficemojo.com/release/rl1174045441/?ref_=bo_we_table_25","$3,348,177,$5,733,$4,116,294,$1,421,340,$2,413,$1,421,340,$677,037,$2,844,$677,037,$464,689,$1,866,$464,689,$126,785,$1,785,$126,785,$118,050,$631,$118,050,$87,409,$773,$87,409","Paramount Pictures International,Wild Bunch Distribution,Pan Media & Entertainment,Pyramide Distribution"
2023,https://www.boxofficemojo.com/weekend/2023W09/?area=FR&ref_=bo_wey_table_44,"Creed III,Les petites victoires,La Syndicaliste,The Son,Empire of Light,Sons of Ramses","https://www.boxofficemojo.com/release/rl3347219201/?ref_=bo_we_table_1,https://www.boxofficemojo.com/release/rl2911208193/?ref_=bo_we_table_3,https://www.boxofficemojo.com/release/rl2927985409/?ref_=bo_we_table_7,https://www.boxofficemojo.com/release/rl2944762625/?ref_=bo_we_table_10,https://www.boxofficemojo.com/release/rl545620737/?ref_=bo_we_table_12,https://www.boxofficemojo.com/release/rl2693104385/?ref_=bo_we_table_18","$7,483,163,$12,748,$7,483,163,$1,555,034,$4,260,$1,555,034,$1,163,937,$2,465,$1,163,937,$621,089,$1,870,$621,089,$597,862,$2,820,$644,859,$168,311,$2,244,$168,311","Warner Bros.,Zinc,Le Pacte,UGC Distribution,Walt Disney Studios Motion Pictures,Diaphana Films"
